antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'day_type=weekend', 'time_band=night', 'temp_band=freezing'})",frozenset({'congestion_level=Low'}),0.023684534812076403,0.25000616142945165,0.022427603203943314,0.946930280957336,3.7876277750240446,1.0,0.016506323570333874,14.1322368405156,0.7538367776515906,0.08925944090240315,0.9292397932977525,0.5183192414250403
"frozenset({'day_type=weekend', 'weather_band=adverse_weather', 'time_band=night'})",frozenset({'congestion_level=Low'}),0.023142329020332718,0.25000616142945165,0.02099815157116451,0.9073482428115016,3.629303524455508,1.0,0.015212426726253725,8.094761085261437,0.7416280405208524,0.0832763170755547,0.8764633088651926,0.4956693895445521
"frozenset({'temp_band=cool', 'day_type=weekday', 'time_band=morning_peak'})",frozenset({'congestion_level=Severe'}),0.04263709180529883,0.24995686999383857,0.03854590264941466,0.9040462427745664,3.616808943066262,1.0,0.027888468636122224,7.816714547654564,0.755735546777655,0.15172681412495148,0.8720690139183791,0.5291282288611542
"frozenset({'temp_band=cool', 'day_type=weekday', 'weather_band=fair_weather', 'time_band=morning_peak'})",frozenset({'congestion_level=Severe'}),0.026444855206407887,0.24995686999383857,0.02385705483672212,0.902143522833178,3.609196750044981,1.0,0.017246981601888138,7.664726461872487,0.7425671197315671,0.09446667317263589,0.8695321998802681,0.4987941041497777
"frozenset({'day_type=weekend', 'time_band=night'})",frozenset({'congestion_level=Low'}),0.07179297597042514,0.25000616142945165,0.06434996919285274,0.8963268108479231,3.5852188830988245,1.0,0.046401282852889886,7.234212091907309,0.776849326878776,0.24995213478843578,0.861767945521162,0.5768601719854758
"frozenset({'day_type=weekend', 'weather_band=fair_weather', 'time_band=night'})",frozenset({'congestion_level=Low'}),0.04865064695009242,0.25000616142945165,0.04335181762168823,0.8910840932117527,3.5642485293835633,1.0,0.031188856126636164,6.885989941108195,0.7562268775670697,0.16980403513852688,0.8547775979122233,0.5322435450285893
"frozenset({'temp_band=cool', 'time_band=night', 'day_type=weekend'})",frozenset({'congestion_level=Low'}),0.026025878003696858,0.25000616142945165,0.023166974738139248,0.8901515151515151,3.5605183090765697,1.0,0.016660344880603795,6.827530116642232,0.7383584411053556,0.09161793372319686,0.8535341502833533,0.4914085651467355
"frozenset({'temp_band=warm', 'day_type=weekday', 'weather_band=fair_weather', 'time_band=late_evening'})",frozenset({'congestion_level=Moderate'}),0.035884165126309306,0.25000616142945165,0.03157116451016636,0.8798076923076923,3.5191440373999026,1.0,0.022599902130837176,6.239948736906961,0.7424833878747725,0.12413993604031397,0.8397422731880193,0.5030446190245086
"frozenset({'temp_band=warm', 'day_type=weekday', 'weather_band=fair_weather', 'time_band=night'})",frozenset({'congestion_level=Low'}),0.03203943314849045,0.25000616142945165,0.028145409735058535,0.8784615384615385,3.5137595547197282,1.0,0.020135354039228906,6.170835380643755,0.739084389676726,0.11085226169675791,0.8379473866477252,0.4955202014074254
"frozenset({'temp_band=warm', 'time_band=midday', 'weather_band=fair_weather', 'day_type=weekend'})",frozenset({'congestion_level=High'}),0.02568083795440542,0.25003080714725817,0.02252618607516944,0.8771593090211133,3.508204924941515,1.0,0.01610518543321151,6.105217960566853,0.7337984979006266,0.08897108926311692,0.836205683980666,0.4836264756046917
"frozenset({'temp_band=warm', 'weather_band=fair_weather', 'time_band=late_evening'})",frozenset({'congestion_level=Moderate'}),0.05099199014171288,0.25000616142945165,0.044337646333949474,0.8695021749637505,3.4779229839465864,1.0,0.0315893346149714,5.74717500741653,0.7507545368715521,0.1727482235452276,0.8260014705121151,0.5234241947373958
"frozenset({'temp_band=warm', 'time_band=midday', 'day_type=weekend'})",frozenset({'congestion_level=High'}),0.03159581022797289,0.25003080714725817,0.02743068391866913,0.8681747269890795,3.472271024897181,1.0,0.019530757984897472,5.68911541560482,0.7352343735726632,0.10791157649796393,0.8242257491811337,0.48894197167590986
"frozenset({'temp_band=warm', 'day_type=weekday', 'time_band=late_evening'})",frozenset({'congestion_level=Moderate'}),0.04773875539125077,0.25000616142945165,0.04138016019716574,0.8668043366029943,3.467131896457659,1.0,0.0294451772103796,5.630767695004463,0.7472499507577874,0.16141126706402611,0.8224043231463473,0.5161604490585949
"frozenset({'temp_band=warm', 'weather_band=fair_weather', 'time_band=night'})",frozenset({'congestion_level=Low'}),0.04547134935304991,0.25000616142945165,0.03940850277264325,0.8666666666666666,3.466581230283911,1.0,0.028040385265869668,5.624953789279109,0.7454269200977179,0.153897978825794,0.8222207617232427,0.5121483964248159
